RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Causa_328,63,5.27,0.81,Baixa
Causa_329,58,3.93,1.16,Alta
Causa_330,63,5.14,0.98,Baixa
Causa_331,57,5.02,0.87,Baixa
Causa_332,60,4.73,1.28,Alta
Causa_333,58,5.55,1.43,Média
Causa_334,56,4.07,1.45,Média
Causa_335,55,4.35,1.37,Média
Causa_336,63,4.58,1.05,Baixa
Causa_337,69,3.68,1.41,Média
Causa_338,68,4.68,1.29,Média
Causa_339,51,3.12,1.24,Média
Causa_340,69,5.34,1.02,Média
Causa_341,57,4.54,1.05,Baixa
Causa_342,64,4.08,1.22,Média
Causa_343,53,3.83,1.93,Média
Causa_344,60,4.31,1.29,Alta
Causa_345,62,5.05,1.02,Alta
Causa_346,49,4.94,0.95,Média
Causa_347,64,3.94,1.05,Baixa
Causa_348,69,3.82,1.85,Alta
Causa_349,58,5.03,1.08,Alta
Causa_350,69,3.92,1.47,Alta
Causa_351,58,4.55,1.09,Média
Causa_352,65,4.6,1.28,Baixa
Causa_353,44,4.75,1.44,Média
Causa_354,76,5.19,1.03,Média
Causa_355,70,3.49,1.01,Média
Causa_356,58,2.97,1.7,Alta
Causa_357,46,4.05,1.5,Média
Causa_358,62,5.94,1.44,Média
Causa_359,49,6.12,1.44,Média
Causa_360,63,5.96,1.34,Baixa
Causa_361,62,4.35,1.81,Média
Causa_362,53,3.07,1.21,Média
Causa_363,67,2.63,1.37,Baixa
Causa_364,65,4.01,0.76,Baixa
Causa_365,66,4.34,0.95,Média
Causa_366,60,5.54,0.84,Alta
Causa_367,50,5.19,1.58,Média
Causa_368,66,4.68,0.43,Média
Causa_369,58,3.79,1.08,Alta
Causa_370,50,3.73,0.3,Alta
Causa_371,69,4.7,0.95,Alta
Causa_372,74,5.06,1.05,Média
Causa_373,59,4.81,1.62,Média
Causa_374,75,3.67,1.32,Alta
Causa_375,60,5.02,0.95,Alta
Causa_376,57,4.84,1.52,Média
Causa_377,55,3.64,1.21,Alta
Causa_378,71,3.87,1.21,Alta
Causa_379,54,5.05,0.84,Média
Causa_380,65,4.31,0.9,Média
Causa_381,56,5.77,0.95,Alta
Causa_382,56,4.9,1.21,Média
Causa_383,67,4.11,1.22,Alta
Causa_384,57,4.49,1.66,Média
Causa_385,57,4.55,1.32,Alta
Causa_386,67,3.92,0.39,Alta
Causa_387,71,3.77,1.28,Média
Causa_388,64,5.06,0.76,Média
Causa_389,55,5.18,0.91,Alta
Causa_390,56,4.98,0.96,Alta
Causa_391,60,5.71,1.0,Baixa
Causa_392,62,4.07,0.79,Média
Causa_393,53,5.84,1.26,Alta
Causa_394,65,3.78,0.78,Média
Causa_395,60,3.69,1.31,Alta
Causa_396,47,3.09,1.87,Média
Causa_397,53,4.14,0.8,Alta
Causa_398,56,4.1,1.11,Alta
Causa_399,59,4.92,0.44,Alta
Causa_400,73,4.7,1.11,Média
Causa_401,61,3.55,1.39,Média
Causa_402,54,4.19,1.42,Média
Causa_403,61,4.2,1.22,Alta
Causa_404,57,3.08,1.47,Alta
Causa_405,62,3.72,1.96,Média
Causa_406,64,3.88,1.71,Alta
Causa_407,68,5.65,1.04,Média
Causa_408,59,4.65,0.76,Alta
Causa_409,71,5.03,1.08,Média
Causa_410,66,3.3,0.92,Média
Causa_411,55,5.46,1.34,Baixa
Causa_412,75,5.54,0.85,Alta
Causa_413,62,2.9,1.18,Alta
Causa_414,54,3.94,1.45,Média
Causa_415,71,4.9,1.17,Baixa
Causa_416,74,5.02,0.92,Baixa
Causa_417,59,3.96,1.55,Média
Causa_418,56,4.26,0.64,Média
Causa_419,58,4.02,1.1,Média
Causa_420,65,4.59,1.19,Média
Causa_421,68,5.46,1.2,Média
Causa_422,63,3.88,1.25,Baixa
Causa_423,60,5.3,1.38,Média
Causa_424,70,3.87,1.19,Média
Causa_425,57,3.82,1.09,Média
Causa_426,67,5.15,1.08,Média
Causa_427,57,5.24,1.02,Média
Causa_428,63,5.18,1.44,Média
Causa_429,59,3.45,1.01,Alta
Causa_430,59,4.13,1.45,Alta
Causa_431,57,5.16,1.21,Média
Causa_432,69,4.53,1.04,Baixa
Causa_433,54,3.64,1.39,Alta
Causa_434,54,4.87,0.98,Média
Causa_435,74,3.93,1.39,Alta
Causa_436,66,5.94,1.26,Alta
Causa_437,43,5.74,1.02,Baixa
Causa_438,56,4.98,1.36,Baixa
Causa_439,47,5.59,1.36,Alta
Causa_440,53,4.55,1.55,Média
Causa_441,38,5.11,1.49,Alta
Causa_442,59,5.68,1.35,Baixa
Causa_443,52,4.7,0.86,Alta
Causa_444,60,4.3,1.93,Alta
Causa_445,48,3.14,0.78,Média
Causa_446,60,4.43,1.48,Baixa
Causa_447,57,5.16,1.33,Alta
Causa_448,70,5.26,0.85,Média
Causa_449,69,4.9,1.16,Alta
Causa_450,65,4.07,1.18,Baixa
Causa_451,57,2.92,1.59,Alta
Causa_452,73,4.1,0.99,Baixa
Causa_453,49,4.26,1.12,Média
Causa_454,50,4.25,0.5,Média
Causa_455,59,4.99,1.72,Baixa
Causa_456,75,6.09,0.88,Baixa
Causa_457,58,4.6,1.3,Média
Causa_458,58,4.33,1.17,Alta
Causa_459,49,4.29,1.17,Média
Causa_460,66,4.6,1.44,Média
Causa_461,66,3.84,1.7,Média
Causa_462,65,4.6,1.28,Média
Causa_463,55,4.86,1.4,Alta
Causa_464,55,4.67,1.3,Média
Causa_465,50,4.87,1.51,Média
Causa_466,60,4.85,1.06,Alta
Causa_467,52,3.08,1.52,Média
Causa_468,51,5.01,1.53,Média
Causa_469,57,3.96,1.52,Média
Causa_470,56,3.62,1.0,Alta
Causa_471,56,3.62,1.15,Média
Causa_472,63,4.85,1.27,Alta
Causa_473,60,4.32,0.79,Média
Causa_474,57,3.15,1.68,Média
Causa_475,61,4.88,1.2,Média
Causa_476,53,3.35,1.29,Alta
Causa_477,60,4.61,1.03,Média
Causa_478,61,4.69,0.8,Baixa
Causa_479,49,5.21,1.02,Alta
Causa_480,66,5.93,1.27,Baixa
Causa_481,53,3.41,1.4,Média
Causa_482,60,4.46,1.25,Média
Causa_483,68,4.28,1.3,Alta
Causa_484,66,4.85,1.1,Alta
Causa_485,60,4.67,1.35,Baixa
Causa_486,57,4.22,1.64,Alta
Causa_487,66,4.15,1.41,Alta
Causa_488,64,3.61,1.44,Média
Causa_489,55,5.29,1.29,Alta
Causa_490,54,4.87,0.75,Média
Causa_491,45,5.23,0.89,Média
Causa_492,61,4.25,1.34,Baixa
Causa_493,59,3.97,1.2,Média
Causa_494,67,3.64,1.33,Alta
Causa_495,62,4.79,1.7,Alta
Causa_496,69,3.67,1.42,Média
Causa_497,55,5.98,1.58,Média
Causa_498,67,3.45,1.23,Baixa
Causa_499,56,4.72,0.96,Média
Causa_500,65,5.75,1.18,Alta
Causa_501,49,4.98,0.96,Baixa
Causa_502,61,4.64,1.67,Alta
Causa_503,46,3.73,1.44,Alta
Causa_504,58,3.39,1.36,Média
Causa_505,63,5.12,1.57,Baixa
Causa_506,56,5.7,0.59,Média
Causa_507,52,4.15,1.38,Alta
Causa_508,65,3.59,0.81,Alta
Causa_509,59,2.53,1.2,Alta
Causa_510,56,3.72,1.11,Alta
Causa_511,60,4.41,1.4,Alta
Causa_512,78,5.78,1.27,Média
Causa_513,68,5.04,1.6,Baixa
Causa_514,68,4.74,1.02,Alta
Causa_515,63,4.18,1.41,Alta
Causa_516,61,4.03,1.25,Baixa
Causa_517,43,5.62,0.71,Média
Causa_518,55,4.66,0.92,Baixa
Causa_519,56,2.82,1.16,Alta
Causa_520,46,3.96,1.53,Alta
Causa_521,51,3.81,1.34,Média
Causa_522,46,4.06,0.85,Média
Causa_523,59,4.95,1.16,Média
Causa_524,65,4.41,1.81,Média
Causa_525,67,4.44,1.23,Alta
Causa_526,62,5.55,1.1,Média
Causa_527,53,3.94,1.35,Média
Causa_528,46,5.99,1.43,Média
Causa_529,47,3.96,1.06,Média
Causa_530,51,4.57,1.35,Média
Causa_531,53,4.28,1.1,Alta
Causa_532,58,4.6,1.42,Alta
Causa_533,52,4.86,1.25,Média
Causa_534,62,4.85,1.34,Alta
Causa_535,58,3.9,0.97,Média
Causa_536,60,3.6,0.95,Baixa
Causa_537,67,6.5,1.48,Alta
Causa_538,51,4.11,1.18,Alta
Causa_539,62,5.06,1.29,Baixa
Causa_540,59,3.21,1.11,Alta
Causa_541,57,4.28,1.47,Alta
Causa_542,66,4.4,1.02,Alta
Causa_543,66,4.88,1.16,Média
Causa_544,53,2.32,1.44,Alta
Causa_545,58,4.63,1.55,Média
Causa_546,61,3.58,1.04,Média
Causa_547,58,4.76,1.79,Alta
Causa_548,64,3.67,1.29,Alta
Causa_549,61,3.82,0.89,Média
Causa_550,72,4.28,1.31,Média
Causa_551,49,3.66,1.09,Alta
Causa_552,59,4.12,1.33,Alta
Causa_553,53,3.55,1.19,Média
Causa_554,64,3.03,1.22,Baixa
Causa_555,48,5.31,0.93,Alta
Causa_556,62,3.46,1.5,Média
Causa_557,55,4.36,0.85,Alta
Causa_558,54,5.1,0.87,Alta
Causa_559,49,4.01,1.31,Alta
Causa_560,56,3.84,1.68,Média
Causa_561,67,4.68,1.09,Média
Causa_562,59,5.39,1.41,Baixa
Causa_563,64,3.56,1.52,Média
Causa_564,71,4.38,1.44,Baixa
Causa_565,61,3.11,1.11,Alta
Causa_566,56,4.19,0.87,Alta
Causa_567,63,4.53,0.54,Baixa
Causa_568,56,3.82,1.12,Média
Causa_569,56,4.13,1.55,Baixa
Causa_570,49,3.37,0.86,Alta
Causa_571,66,4.56,1.41,Alta
Causa_572,57,5.34,0.91,Média
Causa_573,61,3.62,1.23,Alta
Causa_574,52,4.0,1.41,Média
Causa_575,63,4.9,1.0,Média
Causa_576,54,5.47,1.25,Alta
Causa_577,59,3.31,1.08,Alta
Causa_578,66,4.36,1.41,Alta
Causa_579,65,4.73,1.27,Alta
Causa_580,59,4.42,1.22,Média
Causa_581,47,2.52,1.67,Alta
Causa_582,80,4.9,1.4,Alta
Causa_583,72,5.72,0.99,Baixa
Causa_584,65,4.59,1.17,Média
Causa_585,54,3.68,1.18,Alta
Causa_586,59,4.09,1.22,Média
Causa_587,56,5.92,1.96,Baixa
Causa_588,68,5.23,1.31,Alta
Causa_589,61,5.01,0.59,Média
Causa_590,54,4.79,1.04,Média
Causa_591,56,3.97,0.62,Alta
Causa_592,67,4.34,1.1,Média
Causa_593,71,4.44,0.6,Baixa
Causa_594,70,4.94,0.94,Baixa
Causa_595,65,5.71,0.74,Alta
Causa_596,58,5.39,1.32,Alta
Causa_597,37,3.36,1.2,Baixa
Causa_598,62,4.68,1.29,Média
Causa_599,59,5.09,1.17,Alta
Causa_600,60,5.0,0.78,Média
Causa_601,60,4.0,1.35,Alta
Causa_602,50,6.83,1.78,Alta
Causa_603,63,3.48,1.32,Baixa
Causa_604,64,3.63,1.07,Alta
Causa_605,64,4.69,0.77,Alta
Causa_606,66,6.19,0.93,Alta
Causa_607,64,3.83,1.34,Média
Causa_608,57,4.29,1.52,Alta
Causa_609,59,5.36,1.28,Média
Causa_610,60,4.49,1.44,Média
Causa_611,60,4.23,1.41,Baixa
Causa_612,66,4.95,1.35,Alta
Causa_613,64,4.72,1.0,Baixa
Causa_614,74,5.32,1.25,Alta
Causa_615,75,5.53,0.95,Média
Causa_616,60,4.75,1.21,Média
Causa_617,33,4.73,1.3,Alta
Causa_618,68,4.67,1.7,Média
Causa_619,56,4.89,0.81,Alta
Causa_620,54,4.54,1.34,Alta
Causa_621,57,4.5,1.64,Alta
Causa_622,56,5.46,1.43,Média
Causa_623,64,5.71,1.45,Alta
Causa_624,49,3.29,1.38,Alta
Causa_625,52,4.51,1.59,Alta
Causa_626,62,3.95,0.87,Média
Causa_627,64,4.25,0.78,Média
Causa_628,64,4.82,1.2,Alta
Causa_629,54,5.04,0.55,Alta
Causa_630,53,4.41,1.57,Média
Causa_631,56,2.97,1.57,Média
Causa_632,61,3.73,1.07,Média
Causa_633,70,5.22,1.09,Baixa
Causa_634,45,2.31,1.18,Alta
Causa_635,58,5.45,1.22,Baixa
Causa_636,50,4.92,1.24,Alta
Causa_637,48,5.55,1.37,Baixa
Causa_638,66,4.34,1.15,Alta
Causa_639,63,2.85,1.48,Média
Causa_640,63,4.84,1.33,Alta
Causa_641,66,5.52,1.02,Alta
Causa_642,56,5.24,1.6,Baixa
Causa_643,56,3.97,0.79,Média
Causa_644,75,4.57,1.17,Baixa
Causa_645,58,4.07,1.49,Média
Causa_646,65,3.84,0.98,Média
Causa_647,60,5.26,1.29,Alta
Causa_648,47,3.54,1.36,Baixa
Causa_649,45,3.78,0.94,Média
Causa_650,55,3.62,1.18,Média
Causa_651,67,3.31,1.15,Média
Causa_652,65,4.62,1.03,Média
Causa_653,66,5.43,1.89,Baixa
Causa_654,53,4.35,0.97,Alta
Causa_655,71,3.3,1.5,Alta
Causa_656,53,5.17,1.08,Alta
Causa_657,61,5.85,0.87,Média
Causa_658,59,3.98,1.23,Alta
Causa_659,58,4.12,1.39,Alta
Causa_660,69,4.91,1.48,Alta
Causa_661,55,5.8,1.67,Média
Causa_662,50,4.08,2.08,Média
Causa_663,60,3.43,1.28,Alta
Causa_664,57,5.01,1.0,Baixa
Causa_665,83,5.14,1.34,Baixa
Causa_666,64,4.5,1.12,Alta
Causa_667,57,4.05,1.48,Média
Causa_668,52,5.3,0.81,Média
Causa_669,46,4.92,1.91,Alta
Causa_670,52,3.89,1.46,Alta
Causa_671,60,4.54,0.69,Média
Causa_672,69,3.42,0.99,Média
Causa_673,67,5.05,1.44,Alta
Causa_674,61,4.29,1.55,Baixa
Causa_675,57,4.15,0.82,Média
Causa_676,61,4.47,1.41,Média
Causa_677,56,4.53,0.62,Alta
Causa_678,72,5.22,1.17,Média
Causa_679,58,4.97,1.53,Alta
Causa_680,59,4.37,1.03,Média
Causa_681,44,5.11,0.75,Média
Causa_682,58,4.82,1.24,Média
Causa_683,65,4.16,1.02,Alta
Causa_684,52,4.4,1.39,Média
Causa_685,54,4.38,0.93,Baixa
Causa_686,65,4.9,0.97,Média
Causa_687,49,4.21,0.59,Alta
Causa_688,67,4.19,1.25,Média
Causa_689,56,6.08,1.15,Alta
Causa_690,57,5.25,0.84,Baixa
Causa_691,52,3.89,1.26,Média
Causa_692,62,4.96,1.51,Alta
Causa_693,77,4.59,1.14,Alta
Causa_694,65,4.81,1.28,Alta
Causa_695,53,4.61,1.28,Baixa
Causa_696,67,5.45,0.84,Alta
Causa_697,57,4.78,1.82,Média
Causa_698,69,4.45,1.06,Baixa
Causa_699,65,5.33,1.4,Alta
Causa_700,39,4.69,1.43,Média
Causa_701,52,4.6,1.16,Média
Causa_702,66,4.75,1.38,Média
Causa_703,61,4.43,1.27,Alta
Causa_704,52,4.51,0.77,Alta
