RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Falta de energia,15,6.08,1.88,Alta
Sobrecarga elétrica,24,4.45,1.99,Média
Sobrecarga elétrica,20,4.05,1.61,Baixa
Interferência externa,36,5.29,0.66,Alta
Interferência externa,32,4.6,1.47,Alta
Erro de firmware,32,2.63,1.72,Média
Sobrecarga elétrica,10,6.04,1.92,Média
Falha de roteador,6,3.65,1.12,Média
Erro de firmware,36,5.78,1.98,Alta
Interferência externa,29,5.33,1.12,Alta
Cabo rompido,10,7.36,1.54,Média
Falta de energia,42,5.75,1.59,Média
Sobrecarga elétrica,21,6.71,0.86,Alta
Conexão instável,55,4.19,1.82,Média
Erro de firmware,32,4.49,0.9,Alta
Interferência externa,38,7.41,0.96,Baixa
Falta de energia,34,5.36,1.81,Alta
Cabo rompido,19,6.39,1.71,Baixa
Erro de firmware,42,7.32,1.41,Média
Sobrecarga elétrica,38,5.8,1.68,Alta
Cabo rompido,46,2.24,1.79,Baixa
Manutenção mal sucedida,14,5.48,0.89,Alta
Erro de firmware,10,6.69,1.24,Alta
Sobrecarga elétrica,51,3.85,1.02,Baixa
Sobrecarga elétrica,31,6.23,1.5,Alta
Interferência externa,55,4.28,0.63,Alta
Falha de roteador,16,4.66,0.81,Alta
Interferência externa,49,4.56,1.22,Média
Curto-circuito,34,5.09,0.74,Alta
Conexão instável,30,5.77,1.3,Baixa
Interferência externa,32,5.55,1.05,Alta
Interferência externa,18,6.8,1.62,Alta
Erro de firmware,42,6.21,1.3,Alta
Falha de roteador,59,5.22,0.98,Alta
Interferência externa,48,5.43,0.85,Alta
Falha de roteador,8,7.51,1.22,Média
Atualização mal aplicada,38,3.54,1.34,Média
Sobrecarga elétrica,46,4.19,1.47,Média
Curto-circuito,49,3.43,1.0,Baixa
Falta de energia,26,4.57,1.23,Baixa
Curto-circuito,59,3.61,1.76,Alta
Curto-circuito,41,6.09,1.8,Baixa
Conexão instável,34,5.37,0.76,Média
Falha de roteador,6,8.56,0.92,Média
Atualização mal aplicada,30,7.93,0.99,Alta
Conexão instável,24,4.81,1.42,Alta
Falta de energia,15,5.04,1.9,Alta
Sobrecarga elétrica,37,4.38,1.32,Média
Erro de firmware,17,2.29,1.53,Alta
Falta de energia,13,6.29,1.21,Alta
Conexão instável,9,7.66,1.75,Baixa
Falta de energia,15,5.63,1.36,Baixa
Curto-circuito,15,5.27,1.69,Alta
Sobrecarga elétrica,25,4.64,1.45,Baixa
Falha de roteador,49,4.48,1.38,Média
Curto-circuito,43,6.33,1.44,Média
Conexão instável,29,5.94,1.03,Alta
Erro de firmware,18,2.07,1.0,Média
Interferência externa,56,7.65,1.69,Média
Manutenção mal sucedida,34,5.77,0.73,Alta
Falta de energia,31,5.87,1.62,Alta
Atualização mal aplicada,6,6.22,1.01,Baixa
Manutenção mal sucedida,49,6.0,0.69,Alta
Curto-circuito,9,1.64,1.66,Alta
Sobrecarga elétrica,55,4.92,1.35,Média
Falta de energia,24,2.83,1.19,Baixa
Interferência externa,17,7.74,0.71,Alta
Conexão instável,51,6.47,0.65,Baixa
Falta de energia,41,7.85,1.56,Alta
Interferência externa,13,7.89,1.9,Baixa
Cabo rompido,5,4.73,0.67,Baixa
Manutenção mal sucedida,58,4.79,0.97,Alta
Falta de energia,51,6.93,0.58,Alta
Manutenção mal sucedida,57,4.13,1.12,Baixa
Atualização mal aplicada,6,5.87,1.2,Alta
Conexão instável,47,6.21,0.75,Alta
Conexão instável,53,3.21,1.67,Alta
Interferência externa,32,5.62,1.96,Alta
Manutenção mal sucedida,58,3.27,1.79,Média
Curto-circuito,53,3.91,1.1,Alta
Curto-circuito,23,3.82,1.02,Alta
Conexão instável,49,7.13,1.38,Alta
Sobrecarga elétrica,51,4.91,1.29,Média
Conexão instável,54,7.89,0.65,Alta
Cabo rompido,43,5.47,1.63,Alta
Sobrecarga elétrica,50,7.62,1.97,Baixa
Cabo rompido,33,5.69,1.11,Média
Sobrecarga elétrica,28,5.54,1.39,Alta
Falta de energia,7,3.38,1.83,Média
Curto-circuito,38,7.37,1.94,Baixa
Atualização mal aplicada,25,6.13,1.11,Alta
Erro de firmware,11,7.54,1.77,Alta
Sobrecarga elétrica,40,6.65,1.46,Média
Conexão instável,51,3.25,1.74,Alta
Cabo rompido,16,7.21,1.75,Alta
Falha de roteador,38,4.95,1.96,Média
Conexão instável,14,6.21,1.35,Baixa
