RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Conexão instável,8,3.6,1.0,Alta
Falta de energia,9,6.9,0.9,Média
Falta de energia,12,3.5,0.9,Alta
Conexão instável,9,2.6,0.9,Média
Falta de energia,12,5.6,0.4,Média
Curto-circuito,10,3.8,0.5,Alta
Falha de roteador,9,5.5,0.3,Alta
Falha de roteador,6,1.4,0.5,Alta
Erro de firmware,13,7.1,0.4,Alta
Atualização mal aplicada,8,6.0,0.6,Média
Interferência externa,8,2.7,0.8,Média
Conexão instável,11,2.8,0.9,Alta
Cabo rompido,18,7.5,0.8,Média
Atualização mal aplicada,9,3.9,1.0,Alta
Falha de roteador,10,3.7,0.3,Alta
Falta de energia,10,1.6,0.3,Alta
Atualização mal aplicada,9,4.5,0.8,Baixa
Erro de firmware,7,4.7,0.5,Baixa
Conexão instável,10,6.1,0.5,Baixa
Falha de roteador,11,2.9,0.5,Alta
Cabo rompido,9,2.7,0.5,Alta
Falta de energia,10,5.7,0.7,Média
Curto-circuito,11,6.5,0.6,Média
Manutenção mal sucedida,11,2.6,0.7,Baixa
Cabo rompido,9,6.6,0.8,Alta
Curto-circuito,10,5.1,0.6,Alta
Cabo rompido,15,6.6,0.5,Média
Manutenção mal sucedida,10,4.9,0.4,Baixa
Interferência externa,6,1.2,0.5,Baixa
Conexão instável,6,4.8,0.8,Média
Falha de roteador,8,6.6,0.8,Baixa
Interferência externa,16,3.7,0.8,Média
Erro de firmware,10,4.4,0.5,Baixa
Erro de firmware,11,4.7,0.7,Baixa
Conexão instável,8,0.7,0.7,Baixa
Atualização mal aplicada,13,7.5,0.6,Alta
Manutenção mal sucedida,10,3.6,0.7,Alta
Manutenção mal sucedida,13,5.8,0.6,Média
Falha de roteador,7,4.9,0.7,Média
Curto-circuito,14,6.9,0.8,Baixa
Curto-circuito,9,5.6,0.4,Alta
Falta de energia,12,4.6,0.8,Alta
Manutenção mal sucedida,12,3.7,0.4,Média
Interferência externa,8,6.2,0.3,Alta
Interferência externa,13,2.2,1.0,Alta
Falha de roteador,8,6.0,1.0,Alta
Atualização mal aplicada,12,3.4,0.3,Média
Cabo rompido,11,6.9,0.6,Alta
Manutenção mal sucedida,14,5.2,0.4,Baixa
Falha de roteador,5,6.0,0.6,Média
Atualização mal aplicada,4,5.1,0.9,Baixa
Atualização mal aplicada,9,2.4,1.0,Média
Falha de roteador,8,3.7,0.7,Alta
Atualização mal aplicada,10,6.0,0.5,Alta
Cabo rompido,4,5.2,0.7,Alta
Erro de firmware,3,6.8,0.5,Média
Falta de energia,9,5.6,0.9,Alta
Falha de roteador,7,3.5,0.9,Alta
Conexão instável,9,3.8,0.7,Média
Falta de energia,8,5.2,0.5,Alta
Conexão instável,7,1.5,0.5,Alta
Conexão instável,9,7.5,0.3,Média
Falta de energia,6,5.7,0.9,Baixa
Falha de roteador,10,6.8,0.6,Alta
Interferência externa,11,2.6,0.5,Alta
Falha de roteador,7,6.9,0.6,Baixa
Falha de roteador,10,8.3,0.9,Alta
Atualização mal aplicada,6,3.0,0.4,Baixa
Curto-circuito,8,6.2,0.9,Alta
Conexão instável,8,5.0,0.9,Baixa
Conexão instável,11,2.7,1.0,Alta
Manutenção mal sucedida,12,5.7,0.6,Baixa
Curto-circuito,3,6.3,0.5,Alta
Manutenção mal sucedida,12,4.1,0.6,Média
Falha de roteador,14,6.7,0.5,Alta
Interferência externa,7,2.5,0.4,Alta
Erro de firmware,8,2.8,0.7,Média
Falha de roteador,9,5.2,0.6,Média
Erro de firmware,14,5.0,0.9,Baixa
Cabo rompido,9,3.9,0.3,Média
Falta de energia,5,6.2,0.8,Baixa
Conexão instável,10,5.8,0.8,Média
Atualização mal aplicada,11,6.3,0.8,Baixa
Falha de roteador,12,4.8,0.9,Baixa
Cabo rompido,17,5.9,0.8,Alta
Manutenção mal sucedida,8,4.3,0.9,Baixa
Manutenção mal sucedida,13,8.1,0.5,Baixa
Manutenção mal sucedida,3,3.8,0.7,Alta
Curto-circuito,17,8.2,0.3,Média
Atualização mal aplicada,9,5.1,0.3,Alta
Manutenção mal sucedida,7,2.9,0.5,Baixa
Curto-circuito,9,7.1,0.4,Alta
Manutenção mal sucedida,13,5.2,0.5,Alta
Manutenção mal sucedida,7,6.3,0.4,Média
Interferência externa,10,6.8,0.3,Média
Conexão instável,7,5.5,0.9,Baixa
Curto-circuito,11,4.1,0.3,Baixa
Interferência externa,6,6.5,0.8,Média
Conexão instável,12,5.0,0.4,Alta
Cabo rompido,11,6.0,0.9,Média
Falha de roteador,12,1.8,0.9,Média
Manutenção mal sucedida,15,5.7,0.8,Média
Falta de energia,9,4.0,0.8,Alta
Falha de roteador,5,7.5,0.3,Média
Atualização mal aplicada,8,5.9,1.0,Alta
Falha de roteador,8,5.4,0.9,Média
Manutenção mal sucedida,6,5.7,0.9,Média
Cabo rompido,10,3.5,0.8,Baixa
Erro de firmware,10,7.4,0.5,Média
Interferência externa,18,8.0,0.9,Alta
Falta de energia,12,5.6,0.5,Baixa
Falta de energia,6,7.4,0.7,Média
Falta de energia,6,4.1,0.4,Alta
Curto-circuito,13,3.8,0.9,Média
Conexão instável,8,5.1,0.4,Alta
Interferência externa,14,5.7,0.5,Baixa
Interferência externa,13,4.4,0.7,Média
Interferência externa,9,5.8,0.8,Média
Manutenção mal sucedida,4,5.5,0.7,Alta
Erro de firmware,7,3.5,0.5,Alta
Erro de firmware,12,5.8,0.3,Baixa
Interferência externa,16,6.3,0.8,Baixa
Falha de roteador,18,5.3,1.0,Alta
Falta de energia,9,6.7,0.9,Alta
Interferência externa,7,3.2,0.6,Alta
Manutenção mal sucedida,11,5.7,0.9,Média
Curto-circuito,11,3.2,0.6,Média
Curto-circuito,13,3.3,0.7,Média
Atualização mal aplicada,9,4.1,0.6,Média
Falha de roteador,7,3.6,0.6,Baixa
Atualização mal aplicada,15,4.2,0.8,Média
Erro de firmware,10,4.7,0.7,Alta
Erro de firmware,12,6.3,0.5,Média
Conexão instável,6,4.5,0.5,Baixa
Falha de roteador,11,2.6,0.3,Média
Atualização mal aplicada,10,6.7,0.7,Média
Atualização mal aplicada,10,3.7,0.5,Média
Interferência externa,4,4.9,0.4,Baixa
Curto-circuito,13,5.7,0.8,Média
Cabo rompido,10,5.3,0.8,Alta
Erro de firmware,9,6.6,0.8,Baixa
Falta de energia,14,5.7,0.7,Baixa
Cabo rompido,18,3.7,0.9,Alta
Falha de roteador,11,8.3,1.0,Média
Atualização mal aplicada,9,5.3,0.9,Média
Atualização mal aplicada,16,4.8,0.7,Alta
Erro de firmware,13,6.4,0.5,Baixa
Erro de firmware,10,5.4,1.0,Média
Falha de roteador,7,5.6,0.5,Baixa
Falta de energia,12,8.7,0.4,Alta
Manutenção mal sucedida,11,4.6,0.6,Média
Erro de firmware,10,4.5,0.3,Alta
Conexão instável,16,5.2,1.0,Média
Interferência externa,11,6.6,0.7,Média
Conexão instável,8,2.7,0.7,Média
Curto-circuito,12,2.1,0.8,Alta
Atualização mal aplicada,9,4.1,0.6,Alta
Atualização mal aplicada,10,2.5,0.3,Alta
Manutenção mal sucedida,5,4.4,0.7,Alta
Interferência externa,9,5.8,0.8,Média
Falta de energia,13,3.7,0.6,Média
Curto-circuito,9,2.9,0.8,Média
Cabo rompido,11,5.1,0.5,Média
Cabo rompido,13,6.3,0.5,Alta
Conexão instável,11,2.5,0.4,Alta
Erro de firmware,11,6.2,0.6,Alta
Falta de energia,5,6.2,0.9,Baixa
Falha de roteador,7,6.4,0.9,Média
Conexão instável,2,6.8,0.6,Alta
Manutenção mal sucedida,14,8.3,0.7,Alta
Falta de energia,17,4.5,0.8,Baixa
Erro de firmware,9,5.2,0.5,Média
Falha de roteador,10,4.4,0.4,Média
Curto-circuito,8,5.0,1.0,Média
Conexão instável,15,7.3,0.7,Alta
Curto-circuito,13,3.0,1.0,Baixa
Falta de energia,10,3.7,0.5,Média
Atualização mal aplicada,11,7.1,0.8,Alta
Cabo rompido,8,6.5,0.5,Baixa
Atualização mal aplicada,7,4.5,0.5,Média
Atualização mal aplicada,10,6.3,0.7,Alta
Interferência externa,8,5.5,0.5,Média
Falta de energia,13,7.3,0.4,Alta
Erro de firmware,10,5.1,0.5,Alta
Atualização mal aplicada,9,6.5,0.3,Média
Erro de firmware,6,9.0,0.8,Alta
Erro de firmware,10,5.9,0.6,Baixa
Cabo rompido,20,5.1,0.4,Baixa
Curto-circuito,8,6.1,0.4,Alta
Curto-circuito,7,4.5,0.4,Média
Falha de roteador,7,8.6,0.7,Baixa
Falha de roteador,9,5.3,0.4,Média
Atualização mal aplicada,8,4.6,0.8,Média
Curto-circuito,13,3.7,0.3,Alta
Falha de roteador,9,6.6,0.5,Média
Erro de firmware,13,6.3,0.9,Média
Interferência externa,11,4.3,0.8,Baixa
Falha de roteador,12,5.9,0.4,Alta
Cabo rompido,13,2.7,0.9,Baixa
Atualização mal aplicada,17,5.3,0.6,Alta
Falha de roteador,8,5.7,0.9,Baixa
Atualização mal aplicada,8,7.6,0.7,Média
Falha de roteador,13,3.8,0.8,Média
Manutenção mal sucedida,10,3.1,1.0,Média
Falha de roteador,9,3.7,0.5,Alta
Curto-circuito,13,3.0,0.7,Alta
Falha de roteador,12,7.0,0.6,Alta
Erro de firmware,15,7.3,0.3,Alta
Erro de firmware,8,5.5,0.3,Alta
Manutenção mal sucedida,7,6.8,0.4,Média
Curto-circuito,12,5.2,0.8,Média
Manutenção mal sucedida,17,4.9,0.7,Alta
Manutenção mal sucedida,9,4.5,0.7,Baixa
Cabo rompido,9,4.5,0.3,Média
Atualização mal aplicada,14,2.7,0.6,Baixa
Atualização mal aplicada,9,5.4,0.9,Média
Atualização mal aplicada,10,4.9,0.6,Alta
Atualização mal aplicada,6,6.1,0.7,Média
Falta de energia,6,5.1,0.8,Média
Atualização mal aplicada,8,4.8,0.8,Alta
Conexão instável,7,3.7,0.7,Alta
Interferência externa,11,5.1,0.9,Alta
Atualização mal aplicada,15,6.1,0.6,Alta
Interferência externa,12,3.3,0.9,Média
Conexão instável,10,5.1,0.5,Média
Cabo rompido,8,5.3,0.5,Alta
Falta de energia,11,3.9,0.3,Média
Falha de roteador,12,4.1,0.9,Média
Interferência externa,8,5.3,0.6,Alta
Falta de energia,12,3.3,0.5,Alta
Interferência externa,12,5.5,0.5,Alta
Conexão instável,7,3.7,0.9,Alta
Cabo rompido,12,6.6,0.9,Alta
Falta de energia,8,8.5,0.7,Alta
Interferência externa,4,3.7,0.7,Média
Manutenção mal sucedida,5,5.8,0.6,Média
Curto-circuito,12,3.9,0.6,Alta
Curto-circuito,9,6.6,0.9,Alta
Falta de energia,9,3.1,0.4,Média
Curto-circuito,7,5.7,0.6,Baixa
Manutenção mal sucedida,8,3.7,0.5,Média
Interferência externa,11,4.7,0.6,Média
Curto-circuito,8,3.5,0.6,Alta
Falta de energia,11,6.2,0.7,Alta
Falta de energia,11,3.7,0.4,Baixa
Atualização mal aplicada,7,5.8,0.7,Alta
Manutenção mal sucedida,12,4.5,0.5,Baixa
Erro de firmware,8,4.8,0.4,Média
Interferência externa,17,5.2,0.3,Média
Conexão instável,7,3.9,0.8,Alta
Manutenção mal sucedida,12,5.3,0.6,Média
Curto-circuito,9,7.3,0.7,Média
Atualização mal aplicada,11,3.8,0.8,Alta
Manutenção mal sucedida,9,6.8,0.8,Alta
Atualização mal aplicada,7,7.2,0.6,Baixa
Conexão instável,21,3.8,0.6,Média
Manutenção mal sucedida,5,2.8,0.6,Média
Manutenção mal sucedida,15,5.5,0.7,Alta
Falha de roteador,7,4.2,0.6,Média
Falha de roteador,12,7.8,0.9,Média
Erro de firmware,11,5.1,0.9,Média
Conexão instável,11,3.8,0.4,Média
Conexão instável,12,3.3,0.4,Média
Falta de energia,7,6.6,0.7,Média
Falta de energia,12,4.1,0.5,Alta
Interferência externa,7,5.1,0.3,Baixa
Interferência externa,8,6.4,0.9,Média
Atualização mal aplicada,4,4.3,0.5,Alta
Erro de firmware,12,4.9,1.0,Média
Atualização mal aplicada,12,5.0,0.8,Baixa
Erro de firmware,16,6.0,0.8,Alta
Curto-circuito,7,5.9,0.4,Alta
Interferência externa,12,4.7,0.5,Média
Curto-circuito,10,5.1,0.7,Alta
Cabo rompido,9,4.4,0.4,Média
Cabo rompido,11,2.8,0.5,Alta
Falta de energia,8,5.4,0.5,Média
Falha de roteador,13,7.8,0.4,Alta
Atualização mal aplicada,11,3.7,0.4,Alta
Atualização mal aplicada,12,3.8,0.9,Baixa
Falta de energia,9,3.7,0.4,Média
Atualização mal aplicada,16,6.1,0.3,Alta
Interferência externa,13,5.7,0.7,Alta
Falta de energia,9,4.8,1.0,Média
Atualização mal aplicada,8,3.6,0.5,Média
Atualização mal aplicada,16,5.1,0.4,Baixa
Manutenção mal sucedida,13,2.7,0.7,Baixa
Curto-circuito,11,5.2,0.9,Média
Curto-circuito,6,6.3,0.8,Média
Interferência externa,4,3.1,0.7,Média
Manutenção mal sucedida,13,2.7,0.5,Média
Manutenção mal sucedida,5,7.4,0.7,Alta
Falta de energia,8,4.1,0.4,Alta
Curto-circuito,10,6.7,0.8,Alta
Atualização mal aplicada,9,4.8,0.8,Alta
Falta de energia,13,4.8,1.0,Alta
Falha de roteador,17,5.7,0.5,Média
Curto-circuito,8,3.7,0.3,Média
Manutenção mal sucedida,16,5.2,0.7,Média
Cabo rompido,5,4.4,0.8,Alta
Erro de firmware,10,3.0,0.9,Alta
Atualização mal aplicada,7,5.5,0.4,Média
Erro de firmware,9,4.6,0.5,Alta
Atualização mal aplicada,6,4.8,0.7,Média
Cabo rompido,7,3.2,0.5,Baixa
Cabo rompido,6,7.4,0.9,Alta
Falha de roteador,12,6.3,0.6,Alta
Falta de energia,10,6.4,0.9,Média
Falha de roteador,5,4.5,0.7,Baixa
Manutenção mal sucedida,7,2.4,0.8,Média
Curto-circuito,5,7.9,0.5,Baixa
Conexão instável,10,4.9,0.9,Alta
Interferência externa,7,3.9,0.5,Baixa
Conexão instável,9,5.6,0.7,Alta
Manutenção mal sucedida,11,6.8,0.4,Alta
Atualização mal aplicada,9,5.0,0.6,Baixa
Manutenção mal sucedida,10,6.9,0.5,Baixa
Atualização mal aplicada,12,6.6,0.5,Alta
Manutenção mal sucedida,10,3.4,1.0,Alta
Erro de firmware,14,4.0,0.4,Alta
Manutenção mal sucedida,10,6.4,0.9,Alta
Atualização mal aplicada,11,0.9,1.0,Alta
Erro de firmware,8,4.8,0.3,Baixa
Manutenção mal sucedida,12,2.9,0.8,Média
Erro de firmware,9,4.3,0.5,Média
Falha de roteador,7,4.6,0.3,Média
Falta de energia,9,4.5,0.6,Média
Erro de firmware,13,4.2,1.0,Média
Falha de roteador,10,3.4,0.3,Média
Falha de roteador,11,8.4,0.7,Alta
Manutenção mal sucedida,7,7.8,0.7,Média
Atualização mal aplicada,12,3.3,0.9,Média
Conexão instável,14,7.4,0.4,Baixa
Manutenção mal sucedida,8,4.4,0.8,Baixa
Manutenção mal sucedida,9,5.2,0.8,Média
Erro de firmware,10,4.9,0.8,Média
Falha de roteador,9,4.0,1.0,Alta
Conexão instável,15,6.5,0.9,Média
Cabo rompido,9,5.2,0.3,Alta
Erro de firmware,19,4.3,0.6,Alta
Curto-circuito,11,3.0,0.6,Alta
Falha de roteador,9,3.7,0.5,Média
Atualização mal aplicada,11,2.5,0.6,Alta
Manutenção mal sucedida,7,5.0,0.6,Baixa
Manutenção mal sucedida,9,3.2,0.6,Alta
Falta de energia,9,4.6,1.0,Baixa
Erro de firmware,12,7.1,0.4,Média
Conexão instável,12,6.8,0.9,Alta
Interferência externa,7,5.0,0.6,Alta
Falta de energia,10,4.9,0.7,Média
Cabo rompido,10,7.8,0.9,Média
Manutenção mal sucedida,13,5.8,0.6,Média
Interferência externa,13,4.5,0.6,Alta
Manutenção mal sucedida,6,2.9,0.6,Média
Falta de energia,11,5.6,0.6,Baixa
Falha de roteador,6,6.2,0.9,Alta
Curto-circuito,11,4.1,0.9,Média
Manutenção mal sucedida,15,5.4,0.4,Alta
Interferência externa,11,4.5,0.4,Média
Atualização mal aplicada,10,4.7,0.6,Média
Atualização mal aplicada,8,1.3,0.4,Alta
Curto-circuito,8,4.7,0.7,Alta
Interferência externa,7,6.5,0.4,Alta
Manutenção mal sucedida,15,4.1,0.7,Média
Cabo rompido,7,5.1,0.3,Média
Falha de roteador,12,3.9,0.5,Baixa
Curto-circuito,13,5.5,0.8,Média
Manutenção mal sucedida,13,4.7,0.6,Alta
Interferência externa,12,3.6,1.0,Baixa
Interferência externa,16,7.0,0.9,Média
Erro de firmware,8,6.4,0.6,Média
Curto-circuito,7,4.1,0.3,Alta
Conexão instável,7,5.7,0.9,Alta
Atualização mal aplicada,8,5.8,0.9,Baixa
Interferência externa,13,6.0,0.9,Média
Interferência externa,5,2.5,0.4,Alta
Manutenção mal sucedida,9,6.5,1.0,Média
Manutenção mal sucedida,7,4.1,0.5,Baixa
Erro de firmware,15,4.5,0.8,Alta
Falta de energia,7,9.0,0.9,Média
Manutenção mal sucedida,4,5.5,0.5,Baixa
Interferência externa,12,4.4,0.9,Alta
Conexão instável,7,1.7,0.5,Média
Erro de firmware,9,7.1,1.0,Média
Cabo rompido,13,3.0,0.5,Média
Manutenção mal sucedida,8,3.5,1.0,Alta
Falha de roteador,7,4.5,0.3,Alta
Conexão instável,13,7.1,0.8,Média
Falta de energia,13,6.2,0.7,Alta
Falha de roteador,11,4.8,0.6,Média
Curto-circuito,14,5.5,0.5,Alta
Cabo rompido,13,4.1,0.8,Alta
Falta de energia,12,5.2,0.4,Baixa
Erro de firmware,7,5.1,0.7,Média
Falta de energia,8,6.5,0.5,Baixa
Erro de firmware,13,6.5,1.0,Alta
Interferência externa,11,5.7,0.3,Média
Erro de firmware,9,4.5,0.4,Alta
Falha de roteador,12,6.1,0.5,Média
Interferência externa,16,4.9,0.6,Média
Curto-circuito,10,3.4,0.5,Alta
Cabo rompido,12,4.4,0.6,Baixa
Atualização mal aplicada,8,5.1,0.9,Alta
Falta de energia,11,6.4,0.8,Média
Falha de roteador,9,4.7,0.7,Baixa
Falta de energia,14,3.2,0.4,Baixa
Cabo rompido,11,5.1,0.8,Baixa
Cabo rompido,18,5.2,0.4,Alta
Atualização mal aplicada,10,5.3,0.9,Alta
Curto-circuito,6,6.4,0.5,Alta
Falha de roteador,8,6.5,0.6,Média
Curto-circuito,11,4.1,0.5,Média
Curto-circuito,9,4.1,0.9,Alta
Manutenção mal sucedida,5,3.4,0.4,Média
Curto-circuito,12,6.0,0.7,Alta
Erro de firmware,7,7.2,0.4,Alta
Interferência externa,8,4.5,0.8,Média
Curto-circuito,15,4.6,0.9,Média
Falha de roteador,14,7.2,0.6,Baixa
Interferência externa,8,5.8,0.6,Alta
Manutenção mal sucedida,5,5.7,0.9,Média
Cabo rompido,4,3.2,0.7,Alta
Manutenção mal sucedida,7,6.0,0.6,Alta
Erro de firmware,8,3.6,0.7,Média
Conexão instável,6,3.3,0.8,Baixa
Erro de firmware,19,4.5,0.4,Alta
Manutenção mal sucedida,8,4.1,0.9,Alta
Erro de firmware,8,4.7,0.6,Média
Conexão instável,7,2.8,0.4,Alta
Falha de roteador,7,6.4,0.9,Baixa
Conexão instável,12,6.7,0.6,Média
Atualização mal aplicada,7,2.1,0.4,Alta
Cabo rompido,6,6.5,0.7,Média
Cabo rompido,14,3.8,0.9,Média
Cabo rompido,5,6.3,0.9,Alta
Cabo rompido,8,4.9,1.0,Média
Falha de roteador,13,5.0,0.9,Alta
Cabo rompido,11,4.7,0.3,Média
Curto-circuito,6,6.8,0.6,Alta
Manutenção mal sucedida,8,3.1,0.9,Baixa
Erro de firmware,5,5.9,0.6,Alta
Falta de energia,8,6.7,0.7,Alta
Cabo rompido,10,6.1,0.7,Baixa
Cabo rompido,11,8.5,0.6,Alta
Atualização mal aplicada,8,4.2,0.9,Alta
Cabo rompido,15,6.4,0.7,Alta
Conexão instável,7,4.8,0.6,Alta
Cabo rompido,12,6.9,1.0,Baixa
Atualização mal aplicada,10,5.0,0.6,Média
Cabo rompido,9,4.4,0.4,Alta
Erro de firmware,9,7.0,0.7,Média
Cabo rompido,9,4.3,0.9,Média
Curto-circuito,6,2.9,0.8,Baixa
Erro de firmware,17,4.2,0.9,Alta
Falta de energia,11,5.9,0.8,Média
Atualização mal aplicada,10,7.1,0.5,Média
Interferência externa,7,5.2,0.9,Média
Falha de roteador,9,7.0,0.9,Média
Atualização mal aplicada,6,3.0,0.4,Alta
Interferência externa,7,4.3,0.4,Média
Manutenção mal sucedida,7,4.6,1.0,Média
Atualização mal aplicada,13,4.8,0.9,Baixa
Conexão instável,11,5.1,0.9,Alta
Interferência externa,9,6.0,0.9,Média
