RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Conexão intermitente,47,3.53,1.23,Baixa
Problema no roteador,54,3.15,0.69,Média
Atualização pendente,44,2.87,1.58,Alta
Atualização pendente,52,3.39,0.45,Média
Rede congestionada,57,3.35,0.82,Baixa
Falha de hardware,37,4.71,1.11,Alta
Falha de hardware,46,3.72,1.18,Baixa
Falha de hardware,52,2.81,0.97,Média
Conexão intermitente,48,3.22,0.98,Alta
Configuração incorreta,51,4.01,1.12,Média
Atualização pendente,46,4.54,0.93,Média
Servidor não responde,50,2.71,1.42,Média
Atualização pendente,49,2.56,1.25,Média
Configuração incorreta,55,4.44,1.26,Baixa
Problema no roteador,51,3.69,0.71,Alta
Conexão intermitente,51,3.07,0.98,Média
Rede congestionada,47,3.77,0.91,Média
Erro de autenticação,47,2.18,0.7,Média
Configuração incorreta,47,3.5,1.11,Média
Interferência elétrica,51,3.66,0.84,Alta
Problema no roteador,47,3.96,1.2,Média
Conexão intermitente,51,2.99,0.68,Média
Conexão intermitente,60,3.54,1.52,Alta
Configuração incorreta,54,3.04,0.73,Baixa
Falha de hardware,48,3.63,1.07,Baixa
Conexão intermitente,56,3.05,1.24,Média
Falha de hardware,47,3.3,0.83,Alta
Erro de autenticação,39,3.0,1.26,Média
Servidor não responde,44,3.83,0.63,Alta
Driver desatualizado,40,3.93,1.44,Alta
Configuração incorreta,48,3.38,1.0,Média
Atualização pendente,50,3.52,0.82,Alta
Conexão intermitente,58,2.78,0.91,Alta
Atualização pendente,51,3.35,1.24,Alta
Falha de hardware,48,3.47,0.82,Alta
Driver desatualizado,54,4.81,0.78,Alta
Problema no roteador,38,2.94,0.93,Baixa
Falha de hardware,51,4.23,0.65,Alta
Driver desatualizado,53,4.0,1.55,Alta
Conexão intermitente,42,3.64,0.83,Alta
Falha de hardware,55,4.38,1.25,Baixa
Driver desatualizado,51,3.69,1.06,Média
Erro de autenticação,47,3.69,0.7,Média
Rede congestionada,53,3.47,1.0,Baixa
Conexão intermitente,61,4.11,1.24,Média
Configuração incorreta,50,4.05,0.94,Média
Problema no roteador,51,3.19,1.36,Alta
Erro de autenticação,47,2.84,1.31,Média
Falha de hardware,45,3.4,1.28,Média
Configuração incorreta,54,3.1,0.86,Média
Driver desatualizado,45,3.47,0.68,Alta
Conexão intermitente,50,4.12,0.82,Média
Rede congestionada,47,3.27,1.06,Alta
Rede congestionada,52,3.48,1.16,Alta
Atualização pendente,51,3.53,0.35,Média
Erro de autenticação,55,3.92,1.0,Baixa
Interferência elétrica,47,2.38,1.05,Média
Rede congestionada,48,3.2,0.92,Média
Driver desatualizado,45,3.61,1.39,Alta
Rede congestionada,47,4.1,1.13,Alta
Conexão intermitente,51,3.25,1.39,Alta
Servidor não responde,53,2.56,0.94,Média
Erro de autenticação,45,3.81,1.28,Alta
Erro de autenticação,54,3.18,1.49,Alta
Driver desatualizado,56,2.91,1.39,Média
Erro de autenticação,52,3.19,0.67,Alta
Servidor não responde,59,3.41,0.92,Média
Interferência elétrica,46,3.2,0.9,Média
Erro de autenticação,43,2.4,1.15,Média
Rede congestionada,41,3.95,1.21,Média
Conexão intermitente,57,4.14,0.75,Média
Erro de autenticação,53,3.83,1.02,Alta
Falha de hardware,49,2.93,0.39,Média
Falha de hardware,51,3.4,1.43,Baixa
Configuração incorreta,44,3.5,0.85,Alta
Conexão intermitente,62,3.8,1.02,Alta
Problema no roteador,50,3.83,0.91,Baixa
Driver desatualizado,50,3.13,1.34,Média
Driver desatualizado,53,3.54,0.15,Média
Erro de autenticação,52,3.73,1.0,Média
Driver desatualizado,51,4.23,0.97,Alta
Configuração incorreta,46,3.85,0.86,Média
Falha de hardware,52,3.89,1.52,Média
Conexão intermitente,59,3.54,0.73,Alta
Driver desatualizado,56,4.21,1.23,Média
Falha de hardware,57,3.7,1.11,Média
Configuração incorreta,47,3.07,1.38,Média
