ProblemID,RelatedIncident,RootCause,Frequency,Status
PRB0149,INC0273,Erro de firmware,1,Investigando
PRB0150,INC0326,Manutenção mal sucedida,4,Corrigido
PRB0151,INC0295,Sobrecarga elétrica,5,Identificado
PRB0152,INC0409,Conexão instável,2,Identificado
PRB0153,INC0099,Sobrecarga elétrica,2,Investigando
PRB0154,INC0331,Manutenção mal sucedida,3,Investigando
PRB0155,INC0284,Conexão instável,1,Corrigido
PRB0156,INC0095,Conexão instável,8,Investigando
PRB0157,INC0442,Manutenção mal sucedida,3,Investigando
PRB0158,INC0220,Conexão instável,6,Identificado
PRB0159,INC0172,Manutenção mal sucedida,7,Corrigido
PRB0160,INC0196,Sobrecarga elétrica,2,Identificado
PRB0161,INC0140,Conexão instável,3,Corrigido
PRB0162,INC0286,Sobrecarga elétrica,2,Corrigido
PRB0163,INC0480,Erro de firmware,8,Identificado
PRB0164,INC0075,Sobrecarga elétrica,6,Investigando
PRB0165,INC0166,Sobrecarga elétrica,1,Corrigido
PRB0166,INC0367,Manutenção mal sucedida,6,Corrigido
PRB0167,INC0015,Sobrecarga elétrica,2,Identificado
PRB0168,INC0083,Erro de firmware,9,Investigando
PRB0169,INC0495,Erro de firmware,9,Investigando
PRB0170,INC0163,Conexão instável,9,Investigando
PRB0171,INC0345,Sobrecarga elétrica,6,Identificado
PRB0172,INC0151,Erro de firmware,9,Identificado
PRB0173,INC0132,Erro de firmware,7,Investigando
PRB0174,INC0010,Conexão instável,6,Identificado
PRB0175,INC0417,Sobrecarga elétrica,7,Identificado
PRB0176,INC0131,Erro de firmware,3,Corrigido
PRB0177,INC0133,Manutenção mal sucedida,5,Investigando
PRB0178,INC0364,Conexão instável,3,Corrigido
PRB0179,INC0455,Manutenção mal sucedida,2,Identificado
PRB0180,INC0099,Sobrecarga elétrica,2,Investigando
PRB0181,INC0026,Manutenção mal sucedida,1,Identificado
PRB0182,INC0130,Manutenção mal sucedida,7,Investigando
PRB0183,INC0365,Manutenção mal sucedida,1,Investigando
PRB0184,INC0030,Manutenção mal sucedida,7,Identificado
PRB0185,INC0191,Conexão instável,3,Corrigido
PRB0186,INC0075,Conexão instável,4,Corrigido
PRB0187,INC0239,Erro de firmware,1,Corrigido
PRB0188,INC0494,Conexão instável,5,Corrigido
PRB0189,INC0462,Conexão instável,2,Identificado
PRB0190,INC0074,Erro de firmware,3,Identificado
PRB0191,INC0400,Erro de firmware,9,Corrigido
PRB0192,INC0168,Conexão instável,6,Identificado
PRB0193,INC0205,Manutenção mal sucedida,4,Corrigido
PRB0194,INC0211,Manutenção mal sucedida,7,Investigando
PRB0195,INC0308,Sobrecarga elétrica,7,Corrigido
PRB0196,INC0444,Sobrecarga elétrica,5,Corrigido
PRB0197,INC0056,Manutenção mal sucedida,7,Corrigido
PRB0198,INC0107,Conexão instável,5,Identificado
PRB0199,INC0426,Conexão instável,5,Corrigido
PRB0200,INC0135,Manutenção mal sucedida,7,Identificado
